Nombre,Metodo_deteccion,Radio,Periodo_orbital,Indice_similitud_tierra,Distancia_estrella,Distancia_tierra,Radio_estrella,Ascension_recta,Declinacion
Kepler-866 b,Transit,1.62545,2.6170325,0.2798838,0.010355834969325154,690.0,0.71,19.34149,43.08556
Kepler-867 b,Transit,4.64094,150.24213,0.45745216,0.16497408895705523,824.0,0.91,19.152355,51.249981
Kepler-868 b,Transit,2.05143,5.0325179,0.25803065,0.01720454355828221,1269.0,0.89,18.824235,46.675239999999995
Kepler-869 b,Transit,3.60962,40.428776,0.25875497,0.06998574846625767,957.0,0.95,19.294974,50.994122000000004
Kepler-87 b,Transit,13.49684,114.73635,0.14237249,0.14764162269938652,1277.88,1.82,19.861126,46.96513
Kepler-87 c,Transit,6.14308,191.2318,0.27526606,0.20751966257668714,1277.88,1.82,19.861126,46.96513
Kepler-870 b,Transit,2.78008,21.358762,0.24440763,0.04635712269938651,1231.0,1.02,19.693504,50.478634
Kepler-871 b,Transit,3.74414,22.045902,0.20336995,0.04885978220858896,1695.0,1.14,19.635142,43.36816
Kepler-872 b,Transit,1.99538,2.5788551,0.25635214,0.01147201411042945,1114.0,1.08,19.694498,43.60564
Kepler-873 b,Transit,3.75535,20.553384,0.19669509,0.047589177914110437,1397.0,1.27,19.760215,51.271339
Kepler-874 b,Transit,3.94592,40.068673,0.21989088,0.07232761042944785,1072.0,1.13,19.663792,43.014328
Kepler-875 b,Transit,2.90339,27.50738,0.24266792,0.05576479141104295,1244.0,1.11,19.820088,43.141888
Kepler-876 b,Transit,1.43488,5.1443801,0.29341189,0.016672817484662577,735.0,0.77,18.898548,43.383781
Kepler-877 b,Transit,2.11869,18.458471,0.29632861,0.039709592024539886,572.0,0.81,19.323943,46.522667
Kepler-878 b,Transit,1.92812,25.942203,0.35078494,0.04902958588957055,567.0,0.77,19.019747,46.603439
Kepler-879 b,Transit,2.56709,33.385594,0.27684086,0.0626418773006135,772.0,1.02,19.720439,50.909798
Kepler-880 b,Transit,2.65677,7.7146897,0.22540807,0.026584095398773006,673.0,1.74,18.798084,43.672771
Kepler-881 b,Transit,1.78239,4.4444802,0.26840873,0.016542757055214727,1364.0,1.09,19.266174,46.670753
Kepler-882 b,Transit,1.2331,3.9895397,0.29424057,0.014576546625766872,525.0,0.87,19.643327,43.335587000000004
Kepler-883 b,Transit,1.78239,12.984956,0.27647656,0.033808110429447855,549.0,1.09,19.095579,50.300326999999996
Kepler-884 b,Transit,1.2331,5.6991951,0.29551237,0.019149949693251535,420.0,0.94,19.505631,49.923161
Kepler-885 b,Transit,2.49983,18.114729,0.24182317,0.0441138527607362,632.0,1.35,19.244105,49.737206
Kepler-886 b,Transit,1.52456,6.2414637,0.2816728,0.021002958895705522,857.0,1.16,19.084784,43.595234000000005
Kepler-887 b,Transit,1.83844,20.422288,0.27734752,0.04752008588957055,831.0,1.29,19.339388,39.81698900000001
Kepler-887 c,Transit,1.13221,7.6384602,0.29568256,0.024668618404907975,831.0,1.29,19.339388,39.81698900000001
Kepler-888 b,Transit,1.75997,70.697906,0.41851875,0.10158281901840492,413.0,0.9,19.701415,49.738632
Kepler-889 b,Transit,1.08737,3.744439,0.29421329,0.015118826073619633,513.0,1.25,19.431156,50.759489
Kepler-890 b,Transit,8.88953,52.758756,0.15259812,0.08688880674846626,1387.0,1.13,19.229051,43.763496
Kepler-891 b,Transit,6.41212,53.449456,0.19259837,0.08683392944785277,1372.0,1.07,19.405587,40.355255
Kepler-892 b,Transit,2.81371,13.752107,0.27055003,0.0313010245398773,640.0,0.72,18.87531,43.888241
Kepler-893 b,Transit,3.0267,6.3385576,0.21398018,0.020556645705521473,1216.0,0.99,18.997536,43.913005999999996
Kepler-894 b,Transit,2.78008,9.803224,0.2328963,0.02624486411042945,1090.0,0.85,19.24894,46.939395999999995
Kepler-895 b,Transit,1.53577,2.8062423,0.29075714,0.010343793558282209,516.0,0.61,19.286045,51.408891
Kepler-896 b,Transit,2.53346,144.5474,0.63825477,0.15597629141104297,896.0,0.81,18.82928,43.734486000000004
Kepler-897 b,Transit,2.38773,8.0472642,0.24313519,0.024340894785276075,1147.0,1.04,19.372457,51.69582
Kepler-898 b,Transit,1.49093,5.8706191,0.31674754,0.01691942791411043,479.0,0.62,19.105694,46.87093
Kepler-899 b,Transit,2.67919,19.178913,0.25488597,0.04197611656441718,1038.0,0.91,19.832173,40.68078
Kepler-9 b,Transit,8.2954,19.23891,0.1251161,0.04394637423312883,614.0,0.96,19.038266,38.400892
Kepler-9 c,Transit,8.08241,38.9853,0.16120802,0.06978776993865031,614.0,0.96,19.038266,38.400892
Kepler-9 d,Transit,1.63666,1.592851,0.27368666,0.008374233128834356,614.0,0.96,19.038266,38.400892
Kepler-90 i,Transit,1.32278,14.44912,0.29808123,0.03783670552147239,780.0,1.2,18.962234,49.305161
Kepler-900 b,Transit,2.08506,6.9913086,0.2721851,0.02020051625766871,505.0,0.73,19.745154,46.99902
Kepler-901 b,Transit,1.36762,3.5174944,0.30662148,0.011643,241.0,0.57,19.410198,40.887496999999996
Kepler-902 b,Transit,2.54467,40.109955,0.30633944,0.06913552760736197,904.0,0.93,19.315447,46.953823
Kepler-903 b,Transit,2.00659,10.350772,0.26718301,0.028314951226993866,829.0,0.97,19.251402,40.664176
Kepler-903 c,Transit,2.53346,62.922856,0.35287272,0.09431330061349695,829.0,0.97,19.251402,40.664176
Kepler-904 b,Transit,1.77118,3.0216686,0.26727027,0.013180822392638037,1151.0,1.25,19.254862,40.389049
Kepler-905 b,Transit,1.41246,5.0827465,0.2902375,0.017442100613496936,521.0,0.86,19.336743,46.713375000000006
Kepler-906 b,Transit,2.10748,41.697998,0.30824957,0.07358750306748467,758.0,1.02,19.427038,40.125487
Kepler-907 b,Transit,1.19947,15.866218,0.29946762,0.03888202147239264,352.0,1.38,19.031774,41.63274
Kepler-908 b,Transit,1.22189,1.3405975,0.2899725,0.007555534662576687,250.0,1.12,19.688169,39.376484
Kepler-909 b,Transit,1.46851,13.932903,0.29037862,0.036619717791411044,318.0,1.23,19.300425,45.370998
Kepler-91 b,Transit,15.32407,6.24658,0.059635086,0.022423312883435582,1344.56,6.3,19.044859,44.116734
Kepler-910 b,Transit,0.81833,2.364369,0.29002435,0.011505150306748466,402.0,1.5,19.736492,42.743006
Kepler-911 b,Transit,2.60072,20.310501,0.23285802,0.04925768404907976,567.0,1.99,19.905947,40.750689
Kepler-912 b,Transit,2.8025,2.5347563,0.21870717,0.011412409509202455,1265.0,1.11,19.874081,41.758333
Kepler-913 b,Transit,2.06264,10.296725,0.30168525,0.02435220122699387,597.0,0.61,19.838876,41.952431000000004
Kepler-914 b,Transit,1.37883,4.4096655,0.28689146,0.016660701226993865,678.0,1.15,19.360801,44.89933
Kepler-915 b,Transit,1.50214,4.594896,0.28065059,0.017676822699386505,806.0,1.38,19.372806,45.737137000000004
Kepler-916 b,Transit,1.75997,32.29688,0.3660857,0.05765964723926381,769.0,0.81,19.398889,45.973301
Kepler-917 b,Transit,1.9057,2.9704144,0.2635903,0.011513303987730063,1027.0,0.76,19.936752,47.949284
Kepler-918 b,Transit,1.73755,4.8538693,0.27066827,0.017815239570552147,1245.0,1.14,19.880049,48.267838
Kepler-919 b,Transit,2.25321,11.046034,0.24964174,0.03118857055214724,1219.0,1.21,19.874319,48.494404
Kepler-92 b,Transit,3.50873,13.749,0.2711924,0.031595092024539875,484.62,1.53,19.272405,41.562940999999995
Kepler-92 c,Transit,2.60072,26.723,0.2711924,0.031595092024539875,484.62,1.53,19.272405,41.562940999999995
Kepler-92 d,Transit,2.06264,49.3568,0.2711924,0.031595092024539875,484.62,1.53,19.272405,41.562940999999995
Kepler-920 b,Transit,2.42136,6.531927,0.24444964,0.020173573619631905,926.0,0.85,18.953131,49.158676
Kepler-920 c,Transit,3.80019,100.82741,0.43940235,0.12506651840490798,926.0,0.85,18.953131,49.158676
Kepler-921 b,Transit,2.86976,51.300634,0.31907814,0.08088502147239265,847.0,0.91,18.974415,49.190811
Kepler-922 b,Transit,1.42367,0.93846683,0.28276164,0.005655605214723927,558.0,0.93,18.982098,49.533195
Kepler-923 b,Transit,1.37883,6.9336648,0.2881146,0.022596517484662577,966.0,1.26,19.611407,40.055164999999995
Kepler-924 b,Transit,3.07154,61.037012,0.26736942,0.09719765030674848,995.0,1.23,19.377902,40.397718
Kepler-925 b,Transit,2.34289,33.867853,0.41363534,0.057585613496932524,623.0,0.72,19.340437,40.490657
Kepler-926 b,Transit,2.30926,52.06886,0.32714589,0.08396877300613496,771.0,1.01,19.311957,40.700466000000006
