,P_NAME,P_STATUS,P_DETECTION,P_MASS,P_RADIUS,P_PERIOD,P_ECCENTRICITY,P_FLUX,P_ESI,P_DISTANCE,S_DISTANCE,S_MASS,S_RADIUS_EST,S_TYPE,S_CONSTELLATION,S_RA_H,S_DEC_T,P_HABZONE_CON
1183,K2-289 b,3.0,Transit,,9.10252,13.156969,,76.086533,0.10780192,0.107,83.03680981595092,0.95,1.02,,Ophiuchus,16.44287,-14.207614,0
1184,K2-29 b,3.0,Transit,232.01444,13.3399,3.2588321,0.066,307.7777,0.070592185,0.042261846,55.02760736196319,0.94,0.86,G7 V,Taurus,4.1780434,24.402041999999998,0
1185,K2-290 b,3.0,Transit,10.901501,3.06033,9.21165,0.0,378.22718,0.21039111,0.0923,84.35276073619633,1.19,1.51,,Libra,15.657186,-19.801182,0
1186,K2-290 c,3.0,Transit,245.99887,11.27726,48.36685,0.0,34.638291,0.10791193,0.305,84.35276073619633,1.19,1.51,,Libra,15.657186,-19.801182,0
1187,K2-291 b,3.0,Transit,6.4900478,1.59182,2.225177,0.0,633.61927,0.2768656,0.03261,27.69631901840491,0.93,0.9,,Taurus,5.0963865,21.548630000000003,0
1188,K2-293 b,3.0,Transit,,2.45499,13.1225,,65.671332,0.25225269,0.10738518,121.66871165644172,0.96,0.95,,Aquarius,23.440425,-5.972124,0
1189,K2-294 b,3.0,Transit,,1.65908,2.50387,,989.76067,0.27288192,0.035958022,115.65644171779142,0.99,1.2,,Aquarius,23.470112,-6.396310000000001,0
1190,K2-295 b,3.0,Transit,106.47238,10.05537,4.024867,0.0,84.183668,0.09874913,0.0451,69.23312883435582,0.74,0.7,K5 V,Pisces,1.3073267,6.816871,0
1191,K2-3 b,3.0,Transit,,2.17474,10.05449,,10.946816,0.35574521,0.0769,13.536809815950923,0.6,0.56,M0 V,Leo,11.488997,-0.5452130000000001,0
1192,K2-3 c,3.0,Transit,,1.84965,24.64354,,3.3075397,0.5664846,0.1399,13.536809815950923,0.6,0.56,M0 V,Leo,11.488997,-0.5452130000000001,0
1193,K2-3 d,3.0,Transit,,1.51335,44.55983,,1.5020549,0.79753887,0.2076,13.536809815950923,0.6,0.56,M0 V,Leo,11.488997,-0.5452130000000001,0
1194,K2-30 b,3.0,Transit,184.02241,11.64719,4.098503,0.0,233.84869,0.080279382,0.04839,103.14723926380368,0.9,0.84,G6 V,Taurus,3.4894642,22.299404000000003,0
1195,K2-31 b,3.0,Transit,563.82688,11.8826,1.25785,0.0,875.32268,0.07559579,0.022,34.00920245398773,0.91,0.78,G7 V,Scorpius,16.362718,-22.452135,0
1196,K2-32 b,3.0,Transit,,4.96603,8.991828,,,,0.08035,48.58588957055215,0.86,0.84,G9 V,Ophiuchus,16.828407,-18.457178,0
1197,K2-32 c,3.0,Transit,,2.73524,20.66186,,,,0.1399,48.58588957055215,0.86,0.84,G9 V,Ophiuchus,16.828407,-18.457178,0
1198,K2-32 d,3.0,Transit,,3.27332,31.7142,,,,0.1862,48.58588957055215,0.86,0.84,G9 V,Ophiuchus,16.828407,-18.457178,0
1199,K2-32 e,3.0,Transit,,1.0089,4.34882,,,,0.04951,48.58588957055215,0.86,0.84,G9 V,Ophiuchus,16.828407,-18.457178,0
